word,answer
twisted,twisted
twitter,twitter
twjijik,twjijik
twt-nya,twt-nya
uangnya,uangnya
ucapkan,ucapkan
udahlah,sudahlah
udahnya,sudahnya
udhsgah,udhsgah
ulahnya,ulahnya
ulangan,ulangan
ulangin,ulangi
umpetin,sembunyikan
umumkan,umumkan
umumnya,umumnya
umurnya,umurnya
untukku,untukku
untukmu,untukmu
upacara,upacara
updated,updated
upgrade,upgrade
uringan,uring-uringan
usahain,usahakan
usahaku,usahaku
useless,useless
usianya,usianya
utterly,utterly
vaccine,vaccine
variety,variety
version,version
vertigo,vertigo
vibenya,vibenya
vibrasi,vibrasi
vidcall,vidcall
videoin,videokan
viewers,viewers
violent,violent
virtual,virtual
vitamin,vitamin
vividly,vividly
voucher,voucher
waiting,waiting
wajahku,wajahku
wakakak,wakakak
walking,walking
wallahi,wallahi
walopun,walaupun
walupun,walaupun
wanting,wanting
warisan,warisan
warning,warning
was-was,was-was
waspada,waspada
wasting,wasting
watados,watados
wawasan,wawasan
webtoon,webtoon
wedding,wedding
weekend,weekend
welcome,welcome
weverse,weverse
whatsap,whatsapp
whether,whether
wishing,wishing
without,without
wkakaka,wkakaka
wkwkkwk,wkwkwk
wkwkwkw,wkwkwk
wlaupun,walaupun
wonties,wonties
working,working
workout,workout
worried,worried
worries,worries
wouldnt,wouldnt
wouldve,wouldve
wrapped,wrapped
wrecked,wrecked
writers,writers
writing,writing
wronged,wronged
yaallah,ya Allah
yaalloh,ya Allah
yaampun,ya ampun
yaddaex,yaddaex
yakinin,yakinkan
yapping,yapping
yatuhan,ya Tuhan
yayasan,yayasan
yeonjun,yeonjun
yoasobi,yoasobi
youtube,youtube
zholimi,zalimi
-1jeti,kurang satu juta
-1ooi0,-100
-1oti0,-100
-chiko,chiko
-gagal,gagal
-habis,habis uang
-hidup,hidup
-munir,munir
-nkcth,hey
-pacar,pacar
-sakit,sakit
-sedih,sedih
-takut,takut
-tetap,tetap
-tidak,tidak
0ooyen,0ooyen
0siris,0siris
1 hari,1 hari
1 year,1 year
1-on-1,1-on-1
10 jam,10 jam
11 jam,11 jam
12 jam,12 jam
128et2,128et2
15 jam,15 jam
16 jam,16 jam
18 jam,18 jam
1ohari,puasa
1okilo,bobot turun 1 kilo
1tahun,1 tahun
2 days,2 days
2 hari,2 hari
24 jam,24 jam
26se67,tidur pingsan depresi
2ajamm,tidur
2aoie0,tidak tahu
2bulan,2 bulan
2oi9an,anxiety
2orebu,20 ribu
2tahun,anxiety 2 tahun
2x-nya,2x-nya
3 days,3 days
3 hari,3 hari
30 jam,30 jam
31 jam,31 jam
3bulan,3 bulan
3ojuta,3 juta
4 hari,4 hari
43 jam,43 jam
4oorng,empat orang
5 hari,5 hari
5detik,5 detik tertawa pelupa
5opdhl,5opdhl
5tahun,pernikahan 5 tahun
7 hari,tujuh hari
7dream,7dream
9 hari,kehilangan
926e83,926e83
aamiin,aamiin
aammin,aamiin
abisan,habisan
abisin,habiskan
abistu,habis itu
absurd,absurd
abused,abused
accept,accept
accmin,akamin
acting,acting
active,active
actual,actual
ad-hoc,ad-hoc
adakah,adakah
adalah,gemetar gelisah
adanya,adanya
addict,addict
addres,address
adegan,adegan
adekku,adikku
adidas,adidas
adikku,adikku
adiksi,adiksi
adults,adults
advice,advice
afeksi,afeksi
affect,affect
afford,afford
afraid,afraid
agatha,agatha
agency,agency
agenda,agenda
agensi,agensi
agnosa,agnosa
agreed,agreed anxious menangis
aidzin,aidzin
aimana,cara mengubah
aimles,aimless
airnya,airnya
aisyah,aisyah
ajakan,ajakan
ajakin,ajak
ajalah,simpan
ajarin,ajarkan
akhire,akhirnya
akhiri,akhiri
akhlak,akhlak
akibat,sakit
akrena,karena
akting,akting
akulah,akulah
akunku,akunku
akunya,akunya
akupun,aku pun
akutuh,redup membosankan
alamak,alamak
alamat,alamat
alamin,alami
alasan,alasan
alergi,alergi
alesan,alasan
alihin,alihkan
allahu,allahu
almost,almost
alumni,alumni
always,always
alyssa,alyssa
amanah,amanah
amarah,amarah
amazed,amazed
ambang,ambang
ambing,ambing
ambisi,ambisi
ambruk,ambruk
ambyar,ambyar
amjing,anjing
amount,amount
ampuni,ampuni
anabul,anabul
anakku,anakku
anaklu,anakmu
anakmu,anakmu
anakny,anaknya
ancrit,ancrit
ancyur,anxious
andaai,andai
anemia,anemia
anggap,anggap
anggep,anggap
anggun,anggun
anggur,anggur
angkat,angkat
angkot,angkot
angkut,angkut
angsat,angsat
anitwt,anxious
anjeng,anjing
anjenk,anjing
anjime,anjime
anjing,anjing
anjink,anjing
anjir-,anjir
anjlok,anjlok
anjrit,anjrit
anjrot,anjrot
anknya,anaknya
anonim,anonim
answer,answer
antara,jam
anteng,anteng
antimo,antimo
anxeti,anxiety
anying,anjing
anyink,anjing
anyinq,anxious minder
anyone,anyone
anyway,anyway
anzeng,anzeng
apakah,apakah
apalah,apalah
apalgi,apalagi
apanya,apanya
apapun,apa pun
aparat,aparat
apasih,apa sih
apotek,apotek
apotik,apotek
appnya,aplikasinya
aqeela,aqeela
ariana,ariana
around,around
artian,artian
artist,artist
asalah,asalah
asalan,asalan
asking,asking
asleep,asleep
aslian,aslian
asmara,asmara
asrama,asrama
astaga,astaga
asumsi,asumsi
asupan,asupan
atasan,atasan
atensi,atensi
athala,athala
atmnya,atmnya
attach,attach
attack,attack
aturan,aturan
august,august
author,author
autism,autism
avenue,avenue
awasin,awasi
axiety,anxiety
ayahku,ayahku
bablas,bablas
babyak,banyak
bacaan,bacaan
bacain,bacakan
backup,backup
bagian,bagian
bagiku,bagiku
bahasa,bahasa
bahaya,bahaya
bahkan,bahkan
baikan,baikan
baikin,perbaiki
bakaln,bakalan
baking,baking
balita,balita
bandel,bandel
bangat,banget
banged,banget
banget,banget
bangga,bangga
bangke,bangkai
bangsa,bangsa
bangun,bangun
banjir,banjir
banned,banned
banner,banner
bantai,bantai
bantal,bantal
banten,banten
banyak,banyak
bapake,bapak
bapaku,bapakku
barang,barang
barbar,barbar
barbie,barbie
barely,barely
bareng,bareng
baring,baring
baruku,baruku
batang,batang
batery,baterai
bathin,batin
battle,battle
baunya,baunya
bawaan,bawaan
bawain,bawakan
bayang,bayang
baygon,baygon
bayiku,bayiku
bbrapa,beberapa
bebani,bebani
became,became
bechus,becus
become,become
bedain,bedakan
bediri,berdiri
before,before
begini,begini
begitu,begitu
behind,behind
bekasi,bekasi
belain,bela
beliau,beliau
belief,belief
beliin,belikan
belong,belong
bemjur,bemjur
benalu,benalu
benang,benang
benern,benaran
bengek,bengek
bengep,bengep
bensin,bensin
bentak,bentak
bentar,sebentar
bentol,bentol
bentuk,bentuk
ber-13,ber-13
berada,berada
beradu,beradu
berair,berair
berani,berani
berapa,berapa
berasa,berasa
berati,berarti
berbau,berbau
berdoa,berdoa
berdua,berdua
berhak,berhak
beribu,beribu
berisi,berisi
berita,berita
berjam,berjam
berkah,berkah
berkas,berkas
berkat,berkat
berobt,berobat
berrti,berarti
bersih,bersih
bersin,bersin
berupa,berupa
beside,beside
bestie,bestie
betapa,betapa
betina,betina
betmut,bad mood
betray,betray
better,better
beyond,beyond
bgtbgt,banget-banget
bhagia,bahagia
biadab,biadab
biadap,biadab
biarin,biarkan
biasku,biasku
bicara,bicara
bidang,bidang
bigger,bigger
bighit,bighit
bilang,bilang
bimbel,bimbel
bingun,bingung
birahi,birahi
bisaan,bisaan
biseks,biseks
bising,bising
bisnis,bisnis
bknnya,bukannya
blajar,belajar
bleach,bleach
blitar,blitar
blokir,blokir
blonde,blonde
bneran,benaran
bngkit,bangkit
bngsat,bangsat
bngung,bingung
bnrbnr,benar-benar
bntuan,bantuan
bntuin,bantu
bodrex,bodrex
bohong,bohong
bolong,bolong
boneka,boneka
bontot,bontot
bonyok,bonyok
boring,boring
borong,borong
boseen,bosan
bosnya,bosnya
bother,bother
box-ku,box-ku
bpknya,bapaknya
brarti,berarti
brasil,brasil
brbuat,berbuat
breath,breath
brfkir,berpikir
bright,bright
brings,brings
brisik,berisik
broken,broken
brosis,brosis
brubah,berubah
brulah,barulah
brusan,barusan
brutal,brutal
buatan,buatan
buatin,buatkan
buatku,buatku
bubble,bubble
budaya,budaya
budget,budget
bujang,bujang
bukain,bukakan
bukber,bukber
bullet,bullet
bumble,bumble
bundir,bunuh diri
bundle,bundle
bungsu,bungsu
burden,burden
buruan,buruan
burung,burung
buying,buying
cabang,cabang
cacian,cacian
cacing,cacing
cahaya,cahaya
called,called
camera,camera
campur,campur
campus,campus
cancel,cancel
cancer,cancer
candle,candle
cannot,cannot
canteq,cantik
cantik,cantik
capeek,capek
capres,capres
caraku,caraku
carany,caranya
carats,carats
career,career
cariin,carikan
caring,caring
casing,casing
caused,caused
cdj8e1,<noise>
cedera,cedera
cek-in,check-in
cek-up,check-up
cekcok,cekcok
ceklis,ceklis
cekout,checkout
celaka,celaka
celana,celana
cengir,cengir
center,center
centil,centil
ceplas,ceplas
ceplos,ceplos
cerdas,cerdas
cerita,cerita
cermin,cermin
ceunah,ceunah
chance,chance
change,change
charge,charge
chatan,chatan
chatin,chat
chenle,chenle
cherry,cherry
choice,choice
choose,choose
chores,chores
chuuya,chuuya
cincin,cincin
cintai,cintai
cintay,cinta
circle,circle
citaku,citaku
ciuman,ciuman
ckckck,ckckck
cliche,cliche
client,client
clingy,clingy
clumsy,clumsy
cnblue,cnblue
cobaan,cobaan
cobain,coba
coding,coding
coklat,cokelat
collab,collab
comedy,comedy
coming,coming
common,common
contoh,contoh
coping,coping
corona,corona
corset,corset
couple,couple
course,course
cov-19,covid-19
cowokm,cowokmu
cowook,cowok
cramah,ceramah
cranky,cranky
cranya,caranya
creepy,creepy
crewet,cerewet
cringe,cringe
crisis,crisis
crying,crying
cuapek,capek
cucian,cucian
cuekin,cueki
cupet-,cupet
curang,curang
curcol,curcol
curhat,curhat
curiga,curiga
cuthat,curhat
cutter,cutter
cwacca,cuaca
dadaku,dadaku
daerah,daerah
daftar,daftar
dagang,dagang
daging,daging
dahlah,sudahlah
dahulu,dahulu
dajjal,dajjal
dampak,dampak
danger,danger
danmei,danmei
danone,danone
dariku,dariku
darimu,darimu
datang,datang
datenf,datang
dateng,datang
dating,dating
ddgrin,didengarkan
decide,decide
deeply,deeply
defkal,defkal
deg-an,deg-degan
deg2an,deg-degan
delete,delete
delusi,delusi
demand,demand
dendam,dendam
dengan,dengan
dengar,dengar
denger,dengar
dengki,dengki
denial,denial
denyut,denyut
depres,depresi
dering,dering
derita,derita
desain,desain
design,design
desire,desire
detach,detach
detail,detail
detect,detect
device,device
dewasa,dewasa
di-tag,di-tag
diajak,diajak
diakui,diakui
diakun,di akun
dialah,dialah
dialog,dialog
diamku,diamku
dianya,dianya
diapun,dia pun
diatas,di atas
diatur,diatur
diawal,di awal
dibaca,dibaca
dibagi,dibagi
dibawa,dibawa
dibela,dibela
diberi,diberi
diblok,diblok
dibuat,dibuat
dibuka,dibuka
diburu,diburu
dicaci,dicaci
dicari,dicari
dichat,di-chat
dicoba,dicoba
dicuci,dicuci
didada,di dada
diduga,diduga
diejek,diejek
dielus,dielus
dieman,diam
diemin,diamkan
difase,di fase
digrub,di grup
digrup,di grup
dihari,di hari
dihati,di hati
dihina,dihina
dijaga,dijaga
dijbjb,dijbjb
dijual,dijual
dikala,di kala
dikasi,dikasih
dikata,dikatakan
dikeep,di-keep
dikira,dikira
diksih,dikasih
dilema,dilema
diliat,dilihat
dilock,di-lock
diluar,di luar
dimaki,dimaki
dimana,di mana
dimasa,di masa
dimata,di mata
dimeja,di meja
dingin,dingin
dinner,dinner
diolok,diolok
dioper,dioper
diotak,di otak
dipagi,di pagi
dipake,dipakai
dipicu,dipicu
dipuji,dipuji
dirasa,dirasa
direct,direct
diriku,diriku
dirimu,dirimu
disaat,di saat
disana,di sana
disapa,disapa
disatu,di satu
disela,di sela
disini,di sini
disisi,di sisi
disitu,di situ
diskon,diskon
disuru,disuruh
ditaro,ditaruh
ditipu,ditipu
ditmbh,ditambah
diubah,diubah
diumur,di umur
diusia,di usia
diusir,diusir
diving,diving
divisi,divisi
django,django
dlunya,dulunya
doakan,doakan
doang-,doang-
doanya,doanya
doctor,doctor
doesnt,doesn't
dokfer,dokter
dokter,dokter
doktor,doktor
domain,domain
dompet,dompet
donasi,donasi
donlot,download
doping,doping
dosbim,dosbim
dospem,dospem
double,double
dpresi,depresi
dracin,dracin
dragon,dragon
drakor,drakor
dreita,derita
driver,driver
drpada,daripada
drumah,di rumah
dsbnya,dsbnya
dsuruh,disuruh
duanya,duanya
dugaan,dugaan
duilah,duilah
dukung,dukung
duluan,duluan
dumbel,dumbel
during,during
dzalim,zalim
dzikir,zikir
dzolim,zalim
easier,easier
easily,easily
eating,eating
eczema,eczema
editan,editan
editor,editor
effect,effect
effort,effort
egonya,egonya
either,either
eitsji,eitsji
ejekan,ejekan
ekskul,ekskul
ekspek,ekspek
ekstro,ekstro
empang,empang
empath,empath
empati,empati
enakan,enakan
ending,ending
endrol,endrol
energi,energi
energy,energy
enfj-t,enfj-t
enfp-a,enfp-a
enggak,tidak
enggan,enggan
engkau,engkau
enough,enough
enteng,enteng
entire,entire
entp-a,entp-a
episod,episode
escape,escape
esteem,esteem
except,except
excuse,excuse
expect,expect
extent,extent
facing,facing
fading,fading
failed,failed
faizin,faizin
faking,faking
faklah,faklah
fakmen,fakmen
faktor,faktor
family,family
fandom,fandom
fanfic,fanfic
father,father
fcking,fcking
feelin,feelin
fellow,fellow
female,female
fetish,fetish
filter,filter
finest,finest
finger,finger
finish,finish
fisika,fisika
fitnah,fitnah
flight,flight
fobsos,fobsos
follow,follow
forced,forced
forget,forget
forgot,forgot
format,format
freeze,freeze
friend,friend
fucked,fucked
fuckin,fuckin
fungsi,fungsi
futsal,futsal
future,future
gaakan,tidak akan
gaasik,tidak asyik
gabisa,tidak bisa
gabole,tidak boleh
gabung,gabung
gacape,tidak capek
gadang,gadang
gadget,gadget
gaenak,tidak enak
gagang,gagang
gaguna,tidak berguna
gairah,gairah
gajadi,tidak jadi
gajian,gajian
gakmau,tidak mau
gaksih,tidak sih
gaktau,tidak tahu
gakuat,tidak kuat
galeri,galeri
gambar,gambar
gamood,tidak mood
gampil,gampang
ganggi,ganggi
ganggu,ganggu
ganiat,tidak niat
gaoaoa,tidak apa-apa
gapake,tidak pakai
gapapa,tidak apa-apa
garing,garing
gasiap,tidak siap
gaspol,gaspol
gastro,gastro
gasuka,tidak suka
gausah,tidak usah
gdrive,gdrive
gedein,besarkan
gedung,gedung
gegana,gegana
gegara,gara-gara
gegera,gara-gara
gejala,gejala
gelang,gelang
gelisa,gelisah
gemini,gemini
gender,gender
gendut,gendut
gengsi,gengsi
gensin,genshin
gentle,gentle
gepeng,gepeng
geprek,geprek
gereja,gereja
ghibah,ghibah
gifted,gifted
gilaan,gilaan
gimana,bagaimana
giniah,beginilah
ginian,beginian
giniin,beginikan
ginjal,ginjal
gituan,begituan
gituin,begitukan
giveup,give up
giving,giving
gjelas,tidak jelas
glitch,glitch
gloomy,gloomy
gmpang,gampang
gnguan,gangguan
goblkl,goblok
goblok,goblok
godaan,godaan
golput,golput
gondok,gondok
google,google
goreng,goreng
gotten,gotten
goyang,goyang
grades,grades
grasak,grasak
gratis,gratis
greget,greget
grusuk,grusuk
guanya,guenya
gubris,gubris
gudang,gudang
guenya,guenya
guepun,gue pun
guilty,guilty
guling,guling
gulung,gulung
gundah,gundah
gunung,gunung
gwlte3,gwlte3
hadapi,hadapi
hadeuh,hadeuh
hadiah,hadiah
haedeh,hadeh
hahaha,hahaha
haknya,haknya
halnya,halnya
hambar,hambar
hampir,hampir
hanbin,hanbin
hancur,hancur
handal,andal
handle,handle
handuk,handuk
hangat,hangat
hantam,hantam
hantui,hantui
happen,happen
harder,harder
hargai,hargai
hari-h,hari-h
harian,harian
hariku,hariku
harimu,harimu
harini,hari ini
haritu,hari itu
haruis,harus
hasrat,hasrat
hastag,hashtag
hatiku,hatiku
hatimu,hatimu
hating,hating
haunts,haunts
havent,haven't
having,having
healed,healed
health,health
heaven,heaven
hectic,hectic
hehehe,hehehe
helbis,helbis
hempas,hempas
hendak,hendak
hening,hening
herbal,herbal
hiatus,hiatus
hidden,hidden
hiding,hiding
hidung,hidung
higher,higher
highly,highly
hijrah,hijrah
hiking,hiking
hilang,hilang
hinaan,hinaan
hingga,hingga
hockey,hockey
hohoho,hohoho
hokben,hokben
hollow,hollow
honest,honest
honkai,honkai
horkne,horkne
hormat,hormat
hormon,hormon
horror,horror
hotnya,hotnya
hrsnya,harusnya
hshshs,hshshs
huahua,huahua
huehue,huehue
huhuhu,huhuhu
hunger,hunger
hungry,hungry
husnul,husnul
hutang,utang
hyunhe,hyunhe
i-land,i-land
ibadah,ibadah
ibarat,ibarat
ibukku,ibuku
ibunda,ibunda
ibunya,ibunya
idaman,idaman
igs-in,igs-in
ijasah,ijazah
ijazah,ijazah
ikatan,ikatan
ikhlas,ikhlas
iklhas,ikhlas
ikutan,ikutan
ikutin,ikuti
ilegal,ilegal
ilfeel,ilfeel
illnes,illness
ilness,illness
imanku,imanku
impact,impact
impian,impian
income,income
indeed,indeed
infoin,infokan
ingkar,ingkar
inikah,inikah
inilah,inilah
inimah,ini mah
injt-a,intj-a
injury,injury
insane,insane
inside,inside
instan,instan
intens,intens
intern,intern
iparku,iparku
iphone,iphone
isekai,isekai
isinya,isinya
islami,islami
isoman,isoman
israel,israel
issues,issues
istriq,istriku
it2oi7,it 2017
itself,itself
itukah,itukah
itulah,itulah
itupun,itu pun
iya-in,iyakan
iyanih,iya nih
jadian,jadian
jadiin,jadikan
jadwal,jadwal
jaemin,jaemin
jaeyul,jaeyul
jagain,jaga
jagoan,jagoan
jalani,jalani
jambak,jambak
jamnya,jamnya
jancok,jancuk
jancuk,jancuk
jangan,jangan
jangka,jangka
jarang,jarang
jastip,jastip
jatung,jantung
jauhin,jauhi
jdinya,jadinya
jebule,jebule
jelang,jelang
jemari,jemari
jember,jember
jempol,jempol
jemput,jemput
jepang,jepang
jerman,jerman
jernih,jernih
jerome,jerome
jiakkh,gila
jikkan,menjijikkan
jin-wo,jin-wo
jingan,jingan
jirlah,jirlah
jiwaku,jiwaku
jntung,jantung
joging,joging
johnny,johnny
jokgen,jokgen
jokian,jokian
jomblo,jomblo
jualan,jualan
julius,julius
jumlah,jumlah
junior,junior
jurang,jurang
jurnal,jurnal
justru,justru
jutaan,jutaan
juwita,juwita
juyeon,juyeon
kacang,kacang
kadang,kadang
kadrun,kadrun
kafein,kafein
kaiser,kaiser
kajian,kajian
kaleng,kaleng
kalian,kalian
kambuh,kambuh
kamera,kamera
kampus,kampus
kandas,kandas
kanebo,kanebo
kangen,kangen
kanjut,kanjut
kanker,kanker
kantor,kantor
karang,karang
kardus,kardus
karena,cemas
karpet,karpet
karuan,menangis
kasian,kasihan
kastel,kastel
katain,katai
katena,karena
kating,kating
kayany,takut
kbngun,terbangun
kbnykn,kebanyakan
kcuali,kecuali
keadan,keadaan
keanak,keanak
keanya,sepertinya
kearah,ke arah
keatas,ke atas
kebaca,kebaca
kebagi,kebagi
kebawa,kebawa
kebuka,kebuka
keburu,keburu
kecewa,kecewa
kediri,kediri
kejang,kejang
kekang,bebas
kekeuh,kukuh
kekita,ke kita
keknya,sepertinya
kelola,kelola
keluar,keluar
kemana,ke mana
kemari,kemari
kembar,kembar
kemeja,kemeja
kenala,kenapa
kenali,kenali
kenaoa,kenapa
kenapa,kenapa
kening,kening
kental,kental
kentir,kentir
kentut,kentut
kepada,dunia
kepake,kepake
kepala,kepala
kepier,kepier
kepoin,kepoin
kerasa,kerasa
kerbao,kerbau
kerena,karena
kereta,kereta
kering,kering
kerja-,kerja
kerjan,kerja
kerkel,kerkel
kertas,kertas
kesana,ke sana
kesian,kasihan
kesini,mampir
kesitu,ke situ
ketawa,ketawa
ketemu,ketemu
ketiak,ketiak
ketiga,ketiga
ketika,ketika
ketipu,ketipu
keurus,keurus
khusus,khusus
kiamat,kiamat
kidult,kidult
killer,adhd
kindly,tolong
kirain,mengira
kiriku,tanganku
kismin,miskin
kiyoko,kiyoko
kiyowo,kawaii
kjdian,kejadian
klasik,klasik
klinik,klinik
kmaren,kemarin
kmarin,kemarin
kmbali,kembali
kmpung,kampung
kolega,kolega
komedi,komedi
komeen,komentar
koment,komentar
komisi,komisi
komnas,komnas
kompak,kompak
kompem,kompem
kompre,kompre
konsen,konsentrasi
konsep,konsep
konser,konser
konsul,konsul
kontak,kontak
konten,konten
kontol,kontol
konyol,konyol
korban,korban
korsel,korsel
kosong,kosong
kpopan,kpop
krisis,krisis
kritis,kritis
krjaan,pekerjaan
kronis,sakit
krumah,ke rumah
ktauan,kita tahu
kuatin,kuat
kuatir,khawatir
kubuat,buat
kucari,kucari
kucing,kucing
kuduga,duga
kukira,obat luka hebat
kuliah,kuliah
kuliat,kulihat
kulkas,kulkas
kumaha,kumaha
kumpul,kumpul
kun-ge,kun-ge
kuning,kuning
kuping,kuping
kurang,kurang
kurasa,kurasa
kureng,kurang
kurleb,kurang lebih
kursus,kursus
kurung,kurung
kuyang,kuyang
kyanya,sepertinya
kyknya,sepertinya
lagian,lagi pula
lainya,lainnya
lajang,lajang
laknat,laknat
lakuin,lakukan
lalaki,lelaki
lalang,lalang
laluin,lalui
lamaan,lama
lambat,lambat
lampau,lampau
lanang,lanang
lancar,lancar
langit,langit
langka,langka
lanjut,lanjut
lantai,lantai
lantas,lantas
lapang,lapang
laprak,laprak
laptop,laptop
larang,larang
lately,lately
laterz,laterz
latian,latihan
latsol,latsol
lautan,lautan
lawyer,lawyer
leader,leader
legend,legend
legowo,legawa
lelaki,lelaki
lemah-,lemah-
lemari,lemari
lembar,lembar
lembek,lembek
lembur,lembur
lembut,lembut
lemess,lemas
lempar,lempar
lengah,lengah
lengan,lengan
lenyap,lenyap
lewati,lewati
lgsung,langsung
liatin,lihatkan
liatny,lihatnya
likely,likely
liking,liking
lingga,lingga
liquid,liquid
listen,listen
little,little
living,living
lmbung,lambung
lngsng,langsung
lo-nya,lo-nya
lobang,lubang
locked,locked
logika,logika
logout,logout
lokasi,lokasi
lompat,lompat
loncat,loncat
lonely,lonely
longer,longer
losing,losing
lovely,lovely
lovers,lovers
loving,loving
lowbat,lowbat
lowest,lowest
lowker,lowker
lowkey,lowkey
luapin,luapkan
lubang,lubang
lumpuh,lumpuh
lumrah,lumrah
lupaan,lupaan
lupain,lupakan
luring,luring
maafin,maafkan
maapin,maafkan
madesu,madesu
madura,madura
maenan,mainan
maenya,mainnya
mafuyu,mafuyu
magang,magang
magrib,magrib
mahluk,makhluk
mainac,maniac
mainan,mainan
mainin,mainkan
mainly,mainly
makasi,terima kasih
makeup,makeup
making,making
maklum,maklum
maksud,maksud
maksut,maksud
malahj,malah
malang,malang
maling,maling
maluan,maluan
maluin,memalukan
mamaku,mamaku
mampet,mampat
mampir,mampir
mampus,mampus
manage,manage
mandeg,mandek
mandek,mandek
mandir,mandir
mangap,mangap
manhwa,manhwa
maniak,maniak
maning,maning
manjur,manjur
mantan,mantan
mantap,mantap
mantau,memantau
mantep,mantap
manual,manual
mapres,mapres
marahi,marahi
marina,marina
marino,marino
markle,markle
masalh,masalah
masang,memasang
masing,masing
masjid,masjid
masker,masker
maslah,masalah
masnya,masnya
masror,masror
massal,massal
master,master
mataku,mataku
matang,matang
matcha,matcha
mateng,matang
materi,materi
matian,matian
matiin,matikan
matkul,matkul
matter,matter
mature,mature
maukah,maukah
maunya,maunya
maupun,maupun
mazele,mazele
mazmur,mazmur
mbakku,mbakku
mc-nya,mc-nya
medsos,medsos
megang,memegang
meleek,melek
mellow,mellow
meluap,meluap
melulu,melulu
memaki,memaki
memang,memang
member,member
memicu,memicu
memori,memori
memory,memory
mempan,mempan
menang,menang
menari,menari
menata,menata
mendam,memendam
mendem,memendam
mendig,mending
menetu,menentu
menipu,menipu
menjdi,jadi
mentab,mantap
mentah,mentah
mental,mental
mentok,mentok
mentor,mentor
menuju,menuju
meraih,meraih
meraka,mereka
merana,merana
merasa,merasa
mereda,mereda
mereka,mereka
mertua,mertua
merugi,merugi
mesjid,masjid
messed,messed
metode,metode
middle,middle
migran,migran
mikiri,memikirkan
miliki,miliki
minati,minati
minder,minder
minggu,minggu
mingyu,mingyu
minjam,meminjam
minjem,meminjam
mintak,minta
minyak,minyak
miring,miring
miscal,miscall
miskin,miskin
missed,missed
mister,mister
mjalin,menjalin
mkanya,makanya
mksain,memaksakan
mleyot,mleyot
mlihat,melihat
mncari,mencari
mnding,mending
mngkin,mungkin
mnikah,menikah
mnipis,menipis
mnjadi,menjadi
mnjauh,menjauh
mnurut,menurut
mnusia,manusia
mobile,mobile
modern,modern
moment,moment
momong,momong
monang,monang
monday,monday
mondok,mondok
moneys,moneys
monggo,monggo
months,months
monyet,monyet
mostly,mostly
mother,mother
motion,motion
motong,memotong
moveon,move on
moving,moving
msalah,masalah
msteam,msteam
muasin,memuaskan
mukaku,mukaku
mumcul,muncul
muncak,memuncak
muncul,muncul
mundur,mundur
muntah,muntah
murung,murung
musang,musang
muslim,muslim
musnah,musnah
musuhi,memusuhi
mutasi,mutasi
mutual,mutual
mv-nya,mv-nya
myself,myself
nabrak,menabrak
nabung,menabung
nafkah,nafkah
naikin,menaikkan
nakkun,nakkun
naksir,menaksir
nambah,menambah
nampak,tampak
nampar,menampar
nampol,menampol
nanges,menangis
nangis,menangis
narasi,narasi
narsis,narsis
nawari,menawari
nctzen,nctzen
ne-san,ne-san
nearly,nearly
needed,needed
negara,negara
negeri,negeri
nelfon,menelepon
nelpon,menelepon
nembak,menembak
nempel,menempel
nemuin,menemukan
nengok,menengok
neraka,neraka
nerima,menerima
ngacak,mengacak
ngajak,mengajak
ngajar,mengajar
ngakak,ngakak
ngalah,mengalah
ngalir,mengalir
ngalor,mengalor
ngamuk,mengamuk
ngarah,mengarah
ngarep,mengharap
ngaruh,berpengaruh
ngasal,mengasal
ngasih,memberi
ngasuh,mengasuh
ngatur,mengatur
ngayal,mengkhayal
ngbrin,mengabarkan
ngbrol,mengobrol
nge-up,nge-up
ngebet,ngebet
ngebut,mengebut
ngecap,mengecap
ngecek,mengecek
ngedit,mengedit
ngefek,berefek
ngegas,mengegas
ngegym,ngegym
ngejar,mengejar
ngejer,mengejar
ngekil,ngekil
ngekos,mengekos
ngelag,ngelag
ngeles,mengeles
ngeluh,mengeluh
ngelus,mengelus
ngemil,mengemil
ngemis,mengemis
ngeong,mengeong
ngepel,mengepel
ngepet,mengepet
ngepod,ngepod
ngerti,mengerti
ngesot,mengesot
ngetag,ngetag
ngetes,mengetes
ngetik,mengetik
ngetok,mengetuk
ngetwt,ngetwit
ngeyel,mengeyel
ngiang,terngiang
ngidam,mengidam
ngidap,mengidap
ngidul,mengidul
ngikut,mengikuti
ngimpi,bermimpi
nginep,menginap
ngirim,mengirim
ngirit,mengirit
ngisin,ngisin
ngliat,melihat
ngmgin,membicarakan
ngmong,berbicara
ngoceh,mengoceh
ngolah,mengolah
ngolok,mengolok
ngomel,mengomel
ngomen,berkomentar
ngomng,berbicara
ngorok,mengorok
ngosan,ngosan
ngotak,mengotak
ngotot,mengotot
ngpain,sedang apa
ngrasa,merasa
ngubah,mengubah
ngubur,mengubur
ngucap,mengucap
ngudek,mengaduk
ngulik,mengulik
nguras,menguras
ngurus,mengurus
ngusir,mengusir
niatan,niatan
niatku,niatku
nikmat,nikmat
nobody,nobody
nolong,menolong
nongki,nongkrong
nongol,muncul
nonjok,menonjok
nonton,menonton
normal,normal
notice,notice
numpuk,menumpuk
nunduk,menunduk
nunggu,menunggu
nunjuk,menunjuk
nuntut,menuntut
nurani,nurani
nyadar,menyadari
nyakar,mencakar
nyaman,nyaman
nyamar,menyamar
nyampe,sampai
